time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
2019-10-31,182.18,185.27,177.66,183.13,410969.86,74696032.73,force_direct,
2019-11-01,182.85,184.5,177.02,182.18,331519.77,60092727.14,force_direct,
2019-11-02,182.91,186.0,181.53,182.85,179864.4,32936676.71,force_direct,
2019-11-03,181.54,184.7,178.95,182.91,232621.52,42260620.38,force_direct,
2019-11-04,185.71,188.64,180.36,181.54,321175.29,59357371.31,force_direct,
2019-11-05,188.68,192.51,182.22,185.71,389668.65,73036074.78,force_direct,
2019-11-06,191.16,195.09,187.72,188.68,343219.92,65471595.21,force_direct,
2019-11-07,186.68,192.27,184.59,191.16,309882.08,58150631.28,force_direct,
2019-11-08,183.74,188.26,181.41,186.68,365029.75,67305417.41,force_direct,
2019-11-09,184.89,185.79,182.63,183.74,192073.38,35441967.77,force_direct,
2019-11-10,188.96,191.58,183.3,184.89,274940.53,51648623.29,force_direct,
2019-11-11,184.98,190.19,184.06,188.96,255579.93,47746876.46,force_direct,
2019-11-12,187.09,187.65,182.41,184.98,256782.63,47636043.35,force_direct,
2019-11-13,188.11,189.66,185.3,187.09,197273.84,36936429.94,force_direct,
2019-11-14,184.92,188.72,183.34,188.11,245505.3,45523714.1,force_direct,
2019-11-15,180.0,186.7,177.67,184.92,407466.79,74217250.17,force_direct,
2019-11-16,182.37,183.46,179.3,180.0,172801.53,31378510.02,force_direct,
2019-11-17,183.82,186.09,180.0,182.37,198892.44,36509968.7,force_direct,
2019-11-18,178.2,184.06,175.01,183.82,293551.24,52985734.28,force_direct,
2019-11-19,175.94,178.52,172.65,178.2,275886.64,48414106.96,force_direct,
2019-11-20,174.72,177.41,173.5,175.94,216315.93,38001672.19,force_direct,
2019-11-21,161.01,175.85,157.26,174.72,473895.93,78641896.23,force_direct,
2019-11-22,149.56,162.79,138.0,161.01,977977.24,147595324.56,force_direct,
2019-11-23,151.84,154.33,146.11,149.56,369721.1,55595157.56,force_direct,
2019-11-24,139.96,152.86,138.62,151.84,352319.22,51503705.18,force_direct,
2019-11-25,145.69,151.5,131.45,139.96,749675.41,106186791.34,force_direct,
2019-11-26,147.47,149.97,143.37,145.69,354023.04,51873405.04,force_direct,
2019-11-27,152.62,155.54,140.84,147.47,564796.43,83505998.05,force_direct,
2019-11-28,150.72,154.63,149.09,152.62,317714.56,48324220.62,force_direct,
2019-11-29,154.57,157.6,150.23,150.72,328712.26,50649319.12,force_direct,
2019-11-30,151.37,155.25,149.7,154.57,226863.41,34617912.18,force_direct,
2019-12-01,150.73,152.49,145.79,151.37,344178.14,51148792.08,force_direct,
2019-12-02,148.65,151.42,146.71,150.73,233839.1,34768563.47,force_direct,
2019-12-03,147.17,149.93,145.77,148.65,196329.23,29061161.1,force_direct,
2019-12-04,145.38,151.98,143.15,147.17,434490.47,63849308.29,force_direct,
2019-12-05,148.1,149.02,143.64,145.38,299073.54,43777241.59,force_direct,
2019-12-06,148.45,149.77,145.74,148.1,220674.69,32549526.4,force_direct,
2019-12-07,147.14,149.49,146.85,148.45,140471.69,20799551.35,force_direct,
2019-12-08,150.44,151.62,146.11,147.14,205301.6,30606289.29,force_direct,
2019-12-09,147.38,151.19,146.56,150.44,243775.99,36345702.35,force_direct,
2019-12-10,145.56,148.57,143.81,147.38,203215.85,29746845.43,force_direct,
2019-12-11,143.39,146.34,142.12,145.56,157843.1,22772651.17,force_direct,
2019-12-12,144.87,145.85,139.24,143.39,261615.3,37425277.04,force_direct,
2019-12-13,144.8,146.0,142.8,144.87,160695.19,23203419.96,force_direct,
2019-12-14,141.79,145.07,141.18,144.8,126232.59,18027581.36,force_direct,
2019-12-15,142.46,144.12,139.92,141.79,151189.66,21495196.82,force_direct,
2019-12-16,132.73,142.72,127.93,142.46,471018.86,63632055.58,force_direct,
2019-12-17,121.88,132.98,119.11,132.73,563257.36,71709329.27,force_direct,
2019-12-18,132.78,134.87,116.26,121.88,884960.91,110566290.57,force_direct,
2019-12-19,128.1,134.0,125.69,132.78,420674.82,53766864.19,force_direct,
2019-12-20,128.19,129.39,125.84,128.1,213897.47,27266605.48,force_direct,
2019-12-21,126.99,128.4,126.5,128.19,135196.12,17199278.79,force_direct,
2019-12-22,132.09,133.07,126.82,126.99,253140.72,32938501.02,force_direct,
2019-12-23,127.8,135.1,126.0,132.09,421600.76,55501305.92,force_direct,
